voter_id,documento_hash,edad,fecha_nacimiento,fecha_defuncion,estado_documento,condicion_legal,habilitado_legalmente,estado_padron,municipio,zona_id,circunscripcion_autorizada,mesa_asignada
V000023,48f150edd7e5cebc055a,19,2007-06-04,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-050
V000024,6e026e8dd9d53c27df39,20,2006-06-03,,cancelado,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-048
V000025,e6d29e4f65de5e293056,73,1953-06-03,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-006
V000026,4e89217c648ddf0888ae,76,1950-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-009
V000027,b024578c67f39718d770,19,2007-06-04,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-057
V000028,da1a94f857e664ea94b8,19,2007-06-04,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-031
V000029,a217462f715fc1e5f32c,71,1955-06-04,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-021
V000030,acceb1770902cfaea675,18,2008-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-040
V000031,71fb04bbe161be1dde19,36,1990-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-045
V000032,7b2915b8481db1f01ef0,19,2007-06-04,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-077
V000033,0a4c4fb371ca43f74acb,70,1956-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-049
V000034,a5a57d606273f75b79e2,61,1965-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-020
V000035,c9012708707b569cc3de,49,1977-06-03,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-017
V000036,17bac82a9116fb2eb5fc,87,1939-06-04,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-028
V000037,767c94985162b50ff111,49,1977-06-03,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-041
V000038,c7a3a226f56417ee4c93,85,1941-06-03,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-066
V000039,dc13978fc8a649dcb2bb,72,1954-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-025
V000040,94a444a03bc37e0fb153,73,1953-06-03,,vigente,normal,1,activo,MUN-03,ZONA-08,CIRC-03,MESA-058
V000041,961f7883ae2217a64d7a,34,1992-06-03,2025-08-14,vigente,fallecido,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-041
V000042,7371455f5e822f3a0462,55,1971-06-04,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-006
V000043,26346f7bd62c7fa7f45f,41,1985-06-03,,cancelado,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-075
V000044,3434d39ebcd6aad34774,86,1940-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-038
V000045,3ed473a1515f5a741d67,87,1939-06-04,2024-04-07,vigente,fallecido,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-006
V000046,694716537eaf1b12d9aa,28,1998-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-045
V000047,089597e6627d6f282efa,33,1993-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-075
V000048,f4b115e680b28add2ecc,90,1936-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-014
V000049,0ee343159c4264a1c76a,76,1950-06-03,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-066
V000050,b915a74d1428d5ac8823,87,1939-06-04,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-040
V000051,304d1e18ef4a33793879,20,2006-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-003
V000052,3333ead3d289b0ce8423,37,1989-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-024
V000053,463232dc3d8ea7618eaf,76,1950-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-019
V000054,4e71125a8c719cd0a1ee,53,1973-06-03,2025-12-25,vigente,fallecido,1,activo,MUN-03,ZONA-08,CIRC-03,MESA-018
V000055,55f3a4e2e9cbd8228815,36,1990-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-064
V000056,f26655149d82f33904f6,84,1942-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-035
V000057,f431444a078bffa0ccf5,36,1990-06-03,,vigente,inhabilitado,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-062
V000058,c85201c38f2d69ab9c82,37,1989-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-001
V000059,5b57154fa32ff7ff5f00,88,1938-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-025
V000060,1f5881ca17fbc4b2da43,69,1957-06-03,2024-10-15,vigente,fallecido,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-045
V000061,66face41bbb5237a4f2b,50,1976-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-049
V000062,91111ed348e07ee499bf,57,1969-06-03,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-016
V000063,34714f03129ff6c9fe95,56,1970-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-019
V000064,a14a22611f846115d310,18,2008-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-023
V000065,f6f03a665561497460c0,28,1998-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-025
V000066,933dff5c230e6f9a5453,74,1952-06-03,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-016
V000067,d31a1de3be01eeee45c7,67,1959-06-04,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-054
V000068,cd7ccefc97ba08ca4111,40,1986-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-073
V000069,534ffb06dd2168561cb0,124,1902-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-001
V000070,c92ebaf0e58b40406c05,59,1967-06-04,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-042
V000071,db49ef09546848507e65,24,2002-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-019
V000072,d8ba096bd7723ddf8ecb,33,1993-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-034
V000073,bd282ef3a22833b9d0af,77,1949-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-080
V000074,8ef71438ebfcac2ff327,19,2007-06-04,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-055
V000075,23a05c3d3b10f8b750c9,18,2008-06-03,,vigente,normal,1,activo,MUN-03,ZONA-08,CIRC-03,MESA-018
V000076,ed8deb99956564427664,65,1961-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-034
V000077,4433647396e03992ac99,29,1997-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-045
V000078,dd7c8f8372be78511730,86,1940-06-03,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-006
V000079,f70905945a50ad2fe6f6,54,1972-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-021
V000080,729a70835c5db996283c,49,1977-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-070
V000081,d7dfa95615a193ec6afa,26,2000-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-048
V000082,f774eca5abf1a0e2ef85,36,1990-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-039
V000083,83b3b2d643e1b501d136,65,1961-06-03,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-031
V000084,927516b34fcf91544b5b,20,2006-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-010
V000085,ec5036114cac1ffe0d7e,37,1989-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-030
V000086,dd55d3219c02d7e59a17,41,1985-06-03,,vigente,normal,1,activo,MUN-03,ZONA-08,CIRC-03,MESA-018
V000087,572aee8c66b82f3d720a,71,1955-06-04,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-060
V000088,deb68bf3e815cef25c75,50,1976-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-073
V000089,c28e9afa531f102cc10f,41,1985-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-015
V000090,10d648f4694492b0e802,89,1937-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-004
V000091,dab80f1293aa723c24d6,53,1973-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-063
V000092,a92eb3785b77e230bb7a,55,1971-06-04,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-040
V000093,f29973e35125f7f1b398,42,1984-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-009
V000094,355cd261761fcdc63723,35,1991-06-04,2024-08-08,vigente,fallecido,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-009
V000095,7928072f127eee8d2296,16,2010-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-026
V000096,483eb111b06881950399,71,1955-06-04,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-004
V000097,f9230fa1de7fcce4e873,52,1974-06-03,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-016
V000098,e4b29d0fe5c437b3bb7a,78,1948-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-015
V000099,a7bb858a191160596481,58,1968-06-03,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-052
V000100,50657030c001bd2ae515,50,1976-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-069
V000101,4b752ab3154a97d3c257,85,1941-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-005
V000102,481183679b71579c05f3,50,1976-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-020
V000103,f6f0a35c1d70b26fea51,31,1995-06-04,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-079
V000104,45123c9218f354680a5a,38,1988-06-03,,vigente,normal,1,activo,MUN-03,ZONA-08,CIRC-03,MESA-018
V000105,26ef49edded1bb39cbd2,65,1961-06-03,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-002
V000106,4f7b2f7de68511018a24,16,2010-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-013
V000107,a0e6ded71f21b994bbc8,25,2001-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-004
V000108,7ff5ad0c5ca65afa090f,24,2002-06-03,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-042
V000109,755485abf5d01ff5776c,84,1942-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-074
V000110,5bc614dc0fbfaaf21221,34,1992-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-061
V000111,d47ece81b163bcd24ff0,50,1976-06-03,,vigente,normal,1,activo,MUN-03,ZONA-08,CIRC-03,MESA-008
V000112,7e04873171700ac449f0,65,1961-06-03,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-067
V000113,4e023c86ac53eec018a7,76,1950-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-063
V000114,a22ddfc1b38e95ac1feb,39,1987-06-04,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-009
V000115,9eb0d886db58109c7e58,47,1979-06-04,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-011
V000116,199b48853d37c569cd7c,55,1971-06-04,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-042
V000117,8c734dc28b26e6d753da,68,1958-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-013
V000118,239984bf0c59b6fbceef,71,1955-06-04,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-036
V000119,78e855a5045bcb403393,25,2001-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-013
V000120,6b1cb2eccf1a901880dd,44,1982-06-03,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-012
V000121,2b57c474a9c01ff85775,44,1982-06-03,,vigente,privado_libertad,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-037
V000122,8445506973121da27fd0,38,1988-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-074
V000123,bfa7868aa95758a1c8cb,47,1979-06-04,2025-09-03,vigente,fallecido,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-073
V000124,4942eff507da030a5728,45,1981-06-03,2025-04-24,vigente,fallecido,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-052
V000125,d3b5da81f98b756bbad9,81,1945-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-071
V000126,24a3da41d133a1ce00ce,86,1940-06-03,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-002
V000127,9a2bceb0d0b817051e4e,78,1948-06-03,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-056
V000128,593c67514859199ee48d,65,1961-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-060
V000129,154891d556aa44b37266,36,1990-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-023
V000130,427b89d51d4374d564f9,21,2005-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-040
V000131,15c5a6cf76559296f548,52,1974-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-064
V000132,0160ea97c73f16f6da85,81,1945-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-023
V000133,492f00efef1ae5e434cb,66,1960-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-029
V000134,625537d861fa951ff2d8,34,1992-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-078
V000135,dee262ae2bc862da7157,61,1965-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-051
V000136,40d14bd1864bcd996a9b,47,1979-06-04,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-069
V000137,429f154e9d334b0e8b2e,63,1963-06-04,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-031
V000138,9d4de43242b10221b839,23,2003-06-04,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-050
V000139,3cd47022ad66121aa2d2,54,1972-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-020
V000140,4c19280d38a6f382b46b,41,1985-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-055
V000141,85ad6d929999b9ab5659,63,1963-06-04,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-002
V000142,eb20ba798ce59da67d67,70,1956-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-025
V000143,cf6b3ea8ec620dfd6842,77,1949-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-013
V000144,db85616682327b4f878f,80,1946-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-070
V000145,f984edf388e15a339626,49,1977-06-03,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-067
V000146,eb0376f101d33ab1b366,50,1976-06-03,,vigente,normal,1,activo,MUN-03,ZONA-08,CIRC-03,MESA-058
V000147,c39beb38fbddf2736798,84,1942-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-075
V000148,bde91a310a08212fb681,35,1991-06-04,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-064
V000149,1921cbf383c3ed3ad8dc,42,1984-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-069
V000150,3e29cc30b01e1a600cf8,71,1955-06-04,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-059
V000151,c6c6c34f4fe4edb86039,75,1951-06-04,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-060
V000152,d55238020c47e2e4aa5d,84,1942-06-03,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-062
V000153,3a87542d8b465254ac9a,63,1963-06-04,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-016
V000154,35b2e269f4ccb4630b16,41,1985-06-03,,vigente,normal,1,activo,MUN-03,ZONA-08,CIRC-03,MESA-068
V000155,a0aeb3eee3eb25cc1e65,49,1977-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-015
V000156,073eb4a69b525327b24a,64,1962-06-03,,cancelado,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-055
V000157,2ef91c4019748e5eb7a7,40,1986-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-035
V000158,f3b032ed5e401627df05,83,1943-06-04,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-055
V000159,2172e6b0db78ab2cc1ae,44,1982-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-014
V000160,cf5820094be8be519173,19,2007-06-04,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-049
V000161,7d780ee71024b3a29400,34,1992-06-03,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-007
V000162,1f6c0fc3a60ecc9a174d,50,1976-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-030
V000163,47be607d8bf0c9df1519,26,2000-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-049
V000164,86e43d2adabbf61d1b50,60,1966-06-03,2024-01-23,vigente,fallecido,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-016
V000165,777f60aff14a009ef741,65,1961-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-051
V000166,59170ddcfe4a367cc75d,56,1970-06-03,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-072
V000167,4b8adba9dea1cc139261,59,1967-06-04,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-080
V000168,ad6501458ee6fc3fde13,43,1983-06-04,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-042
V000169,f645f5248cab6cf51806,67,1959-06-04,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-017
V000170,6924fed11824ff7c2366,42,1984-06-03,2024-04-21,vigente,fallecido,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-063
V000171,0bfcbbeb51f82e452281,41,1985-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-045
V000172,2123e1ee3b9353b3e30b,30,1996-06-03,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-077
V000173,584708a127ef5f4637b5,77,1949-06-03,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-007
V000174,feb93d3f02727154cde4,24,2002-06-03,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-027
V000175,728e14e758e62eac472d,74,1952-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-010
V000176,c4b600a680c5e1d43269,53,1973-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-034
V000177,b31e6297d283abe20886,62,1964-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-036
V000178,4f3dae272a97b4878bdf,37,1989-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-025
V000179,2a4c008ba7300b5907b1,82,1944-06-03,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-006
V000180,34999bd28bcb047646d4,25,2001-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-024
V000181,d40667db058d9be804b6,16,2010-06-03,,vigente,normal,1,activo,MUN-03,ZONA-08,CIRC-03,MESA-018
V000182,cc061d655e48ce27d53d,31,1995-06-04,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-006
V000183,fc9ec4b3a351854104de,32,1994-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-029
V000184,54bf02be27279d45e39b,83,1943-06-04,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-025
V000185,e4261aa8ec96c4dfa31b,49,1977-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-055
V000186,c217aa73cf00fee5f525,80,1946-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-046
V000187,279a5b9833de4c83f78e,68,1958-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-024
V000188,2c51ec9eb5137ff35d99,42,1984-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-075
V000189,7634da1747c7c0794580,75,1951-06-04,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-026
V000190,44e7aac7ee58dc30a045,80,1946-06-03,2025-10-23,vigente,fallecido,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-028
V000191,d6b7d436a0d9caf1bdd4,79,1947-06-04,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-003
V000192,ac9b30bd3b77c37e6168,39,1987-06-04,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-075
V000193,de992a0bd9a0510d40fa,75,1951-06-04,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-038
V000194,3140590b60c689c5deb6,75,1951-06-04,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-061
V000195,0ee343159c4264a1c76a,66,1960-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-078
V000196,2559123a07f40cad3704,69,1957-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-051
V000197,935f4d92b641dada8188,59,1967-06-04,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-048
V000198,e65c69f7c5d93010cc13,87,1939-06-04,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-021
V000199,925bda70d51b09f15758,32,1994-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-054
V000200,9e3fb84ab00019abf768,71,1955-06-04,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-056
V000201,051f69b44202e4f7ae69,77,1949-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-059
V000202,ff0d2a8081eea8b8ddab,25,2001-06-03,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-072
V000203,7792f39683f3fcc1114d,70,1956-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-051
V000204,74d86ab1152397af7828,77,1949-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-020
V000205,22e99d979ee47396555f,22,2004-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-059
V000206,43d62485a996c9a0f5d7,85,1941-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-071
V000207,cc3e4575d4ccefed3ee3,23,2003-06-04,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-009
